symbol,avg_daily_return,volatility,log_volume,log_price,cluster
HCN,0.000254,0.012584,6.336269,1.836257,0
HCP,-0.000216,0.014687,6.537941,1.558796,1
HD,0.000893,0.010998,6.723619,2.085331,0
HES,-0.000273,0.022779,6.572056,1.796677,2
HIG,0.000538,0.012359,6.46566,1.643,1
HII,0.001093,0.01499,5.522628,2.16759,0
HLT,0.001334,0.009855,6.41297,1.809676,0
HOG,-0.000137,0.017892,6.360222,1.750474,2
HOLX,0.000774,0.014879,6.408102,1.537503,1
HON,0.00058,0.010375,6.476544,2.044091,0
HP,5.2e-05,0.024193,6.278487,1.845766,2
HPE,8.1e-05,0.025283,7.067239,1.25846,2
HPQ,0.001128,0.018827,7.105003,1.193781,1
HRB,6.6e-05,0.018861,6.467927,1.46068,2
HRL,0.000567,0.012672,6.339624,1.501724,1
HRS,0.000797,0.012165,5.910936,1.948265,0
HSIC,0.000282,0.012207,6.031502,1.870089,0
HST,0.000143,0.01504,6.896663,1.277299,1
HSY,0.00024,0.012173,6.074855,1.997495,0
HUM,0.001017,0.016998,6.145618,2.248115,0
IBM,-0.00012,0.011735,6.633961,2.20806,0
ICE,0.000543,0.01367,6.556118,1.706607,1
IDXX,0.001223,0.016573,5.852895,1.983332,0
IFF,0.000654,0.012543,5.675212,2.071395,0
ILMN,0.000997,0.024834,6.143503,2.239182,0
INCY,0.001018,0.02856,6.201765,1.959761,2
INFO,0.000677,0.013255,6.14904,1.524341,0
INTC,0.000673,0.013759,7.433948,1.523789,1
INTU,0.000814,0.013127,6.201961,2.021107,0
IP,0.000267,0.013831,6.481373,1.687895,1
IPG,0.000238,0.01428,6.646504,1.326972,1
IQV,0.000848,0.013638,6.019653,1.848501,0
IR,0.000462,0.013257,6.310659,1.834279,0
IRM,0.000373,0.016113,6.225587,1.532896,1
ISRG,0.001185,0.016413,6.026023,2.319859,0
IT,0.000656,0.013488,5.665878,1.963634,0
ITW,0.000744,0.010163,6.213931,2.031198,0
IVZ,0.000146,0.015889,6.508477,1.53619,1
JBHT,0.000479,0.012243,5.967845,1.925737,0
JCI,-2.1e-05,0.013342,6.581057,1.624049,1
JEC,0.000165,0.015328,6.025205,1.703866,0
JNJ,0.000465,0.008891,6.863214,2.045184,1
JNPR,0.000392,0.017597,6.752137,1.409126,1
JPM,0.000688,0.012948,7.195346,1.844395,1
JWN,-6.5e-05,0.020017,6.391142,1.766896,2
K,0.000172,0.011069,6.320794,1.838229,0
KEY,0.000542,0.015929,7.073814,1.165353,1
KHC,0.000185,0.012948,6.515511,1.915705,0
KIM,-0.0,0.013004,6.522711,1.384031,1
KLAC,0.000652,0.017166,6.184385,1.872998,0
KMB,0.000197,0.0098,6.234759,2.072598,0
KMI,-0.000477,0.020307,7.187185,1.439693,2
KMX,0.000484,0.018677,6.331276,1.764293,0
KO,0.000157,0.008573,7.133676,1.628322,1
KORS,2.6e-05,0.024327,6.51982,1.755603,2
KR,0.000465,0.016083,6.958849,1.487879,1
KSS,0.000197,0.021963,6.553895,1.702199,2
KSU,1.9e-05,0.017154,6.12437,1.993202,0
L,0.000101,0.009701,6.041054,1.629064,0
LB,0.000163,0.019114,6.402823,1.842393,2
LEG,0.000516,0.012355,5.979788,1.646438,0
LEN,0.000615,0.01581,6.469284,1.662415,1
LH,0.000643,0.012356,5.960358,2.091822,0
LKQ,0.000345,0.015361,6.291519,1.482453,1
LLL,0.000715,0.013078,5.825802,2.136555,0
LLY,0.000598,0.013509,6.653158,1.873621,1
LMT,0.000832,0.009948,6.16324,2.350806,0
LNC,0.000575,0.017735,6.282015,1.746671,0
LNT,0.000572,0.010643,6.107271,1.535125,0
LOW,0.000713,0.013072,6.742197,1.839474,1
LRCX,0.001372,0.017405,6.348961,1.982514,0
LUK,3.3e-05,0.014545,6.243118,1.355799,1
LUV,0.001402,0.018171,6.837255,1.623426,1
LYB,0.000496,0.017928,6.537489,1.951927,0
